entity_id,session_key,session_id_impressions,session_id_order,platform_order_code,df_dps,df_impressions,delivery_fee_eur,dps_delivery_fee_eur
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,4.99,4.99,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,0.0,0.0,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,2.49,2.49,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,3.99,3.99,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,3.99,3.99,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,0.99,0.99,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,2.49,2.49,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,3.99,3.99,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,4.99,4.99,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,2.49,2.49,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,3.49,3.49,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,5.49,2.49,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,2.49,2.49,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,2.49,2.49,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,2.49,2.49,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,2.49,2.49,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,3.99,3.99,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,2.49,2.49,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,3.99,3.99,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,3.99,3.99,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,0.99,0.99,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,2.49,2.49,,
MJM_AT,UTugdsnzxQ52oykXqC1vPg==,1717871731580.1957927227.kockmxvirp,,,0.99,0.99,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,2.49,2.49,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,0.0,0.0,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,2.49,2.49,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,3.99,3.99,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,4.99,4.99,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,3.99,3.99,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,0.0,0.0,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,2.49,2.49,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,0.0,2.29,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,2.49,2.49,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,3.99,3.99,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,2.49,2.49,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,2.49,2.49,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,3.0,3.0,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,3.99,3.99,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,3.99,3.99,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,3.99,3.99,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,0.0,0.0,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,4.99,4.99,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,0.0,0.0,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,2.99,2.99,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,1.49,1.49,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,2.49,2.49,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,4.99,4.99,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,2.49,2.49,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,0.99,0.99,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,2.49,2.49,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,2.49,2.49,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,2.49,2.49,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,2.49,2.49,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,4.99,4.99,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,0.99,0.99,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,3.99,3.99,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,2.49,2.49,,
